date,event
2021-11-18,Shut off water valve for irrigation
2021-12-04,System test
2022-01-22,Irrigation repair; Zones 1-4 @ 50 mins/wk
2022-02-03,Zone 1 off; Zones 2-4 @ 50 mins/wk
2022-02-09,Zone 4 off; Zones 1-3 @ 50 mins/wk
2022-03-04,Irrigation repair; Zones 1-4 @ 20 mins/wk
2022-03-11,Zones 1-2 @ 10 mins/wk; Zones 3-4 @ 30 mins/wk
2022-03-30,Zones 1-2 @ 2 mins/wk
2022-06-08,50 gals to refill new water heater
2022-06-09,Fix toilet leak
2022-06-16,Lengthened duration of irrigation for each zone
2022-07-09,Increased duration for all four zones
2022-06-24,Leave town; housesitter arrives
2022-07-08,Return home
